iter	Passed	Remaining
521	1932	1769
522	1935	1765
523	1937	1760
524	1940	1755
525	1948	1756
526	1952	1752
527	1954	1747
528	1958	1743
529	1961	1739
530	1964	1735
531	1967	1731
532	1970	1726
533	1982	1729
534	1986	1726
535	1989	1722
536	1992	1718
537	1996	1714
538	1998	1709
539	2002	1705
540	2005	1701
541	2008	1697
542	2011	1693
543	2014	1688
544	2016	1683
545	2020	1680
546	2023	1675
547	2026	1671
548	2029	1666
549	2032	1662
550	2035	1658
551	2038	1654
552	2041	1649
553	2043	1645
554	2045	1640
555	2050	1637
556	2054	1634
557	2057	1630
558	2060	1625
559	2068	1624
560	2070	1620
561	2074	1616
562	2079	1613
563	2083	1610
564	2085	1606
565	2088	1601
566	2091	1597
567	2099	1596
568	2102	1592
569	2105	1588
570	2108	1583
571	2110	1579
572	2114	1575
573	2116	1570
574	2119	1566
575	2124	1563
576	2129	1561
577	2132	1557
578	2135	1553
579	2146	1554
580	2160	1558
581	2165	1555
582	2168	1551
583	2173	1548
584	2177	1544
585	2181	1541
586	2184	1536
587	2187	1532
588	2191	1529
589	2194	1524
590	2197	1520
591	2206	1520
592	2210	1516
593	2213	1512
594	2219	1510
595	2223	1507
596	2227	1503
597	2237	1504
598	2240	1499
599	2243	1495
600	2248	1492
601	2252	1489
602	2257	1486
603	2269	1487
604	2272	1483
605	2275	1479
606	2286	1480
607	2290	1476
608	2295	1473
609	2299	1469
610	2303	1466
611	2307	1462
612	2310	1458
613	2314	1454
614	2316	1450
615	2319	1446
616	2332	1447
617	2334	1443
618	2342	1441
619	2344	1437
620	2347	1432
621	2350	1428
622	2353	1424
623	2357	1420
624	2359	1415
625	2362	1411
626	2364	1406
627	2369	1403
628	2371	1398
629	2375	1395
630	2378	1390
631	2381	1386
632	2385	1382
633	2387	1378
634	2390	1374
635	2392	1369
636	2395	1364
637	2401	1362
638	2405	1358
639	2407	1354
640	2409	1349
641	2412	1345
642	2415	1341
643	2419	1337
644	2421	1332
645	2425	1328
646	2429	1325
647	2432	1321
648	2435	1317
649	2437	1312
650	2440	1308
651	2443	1304
652	2448	1300
653	2451	1296
654	2453	1292
655	2455	1287
656	2458	1283
657	2460	1278
658	2463	1274
659	2466	1270
660	2468	1266
661	2471	1261
662	2474	1257
663	2477	1253
664	2480	1249
665	2482	1245
666	2485	1240
667	2491	1238
668	2495	1234
669	2497	1230
670	2499	1225
671	2503	1221
672	2505	1217
673	2508	1213
674	2510	1208
675	2513	1204
676	2517	1201
677	2520	1197
678	2523	1192
679	2525	1188
680	2527	1184
681	2531	1180
682	2534	1176
683	2537	1172
684	2539	1167
685	2542	1163
686	2545	1159
687	2547	1155
688	2550	1151
689	2552	1146
690	2555	1142
691	2558	1138
692	2562	1135
693	2565	1131
694	2568	1127
695	2570	1122
696	2572	1118
697	2575	1114
698	2578	1110
699	2581	1106
700	2583	1102
701	2586	1097
702	2588	1093
703	2591	1089
704	2594	1085
705	2597	1081
706	2599	1077
707	2602	1073
708	2606	1069
709	2609	1065
710	2612	1061
711	2614	1057
712	2616	1053
713	2618	1048
714	2622	1045
715	2626	1041
716	2628	1037
717	2632	1033
718	2635	1030
719	2638	1026
720	2641	1021
721	2643	1017
722	2645	1013
723	2647	1009
724	2652	1006
725	2655	1002
726	2657	998
727	2660	994
728	2662	989
729	2666	986
730	2669	982
731	2671	978
732	2674	974
733	2676	969
734	2680	966
735	2684	963
736	2687	958
737	2689	954
738	2692	950
739	2696	947
740	2698	943
741	2700	939
742	2703	935
743	2705	930
744	2710	927
745	2714	924
746	2716	920
747	2718	915
748	2721	911
749	2724	908
750	2727	904
751	2730	900
752	2732	896
753	2735	892
754	2739	888
755	2742	885
756	2744	881
757	2747	877
758	2749	873
759	2754	869
760	2758	866
761	2760	862
762	2763	858
763	2765	854
764	2770	850
765	2772	847
766	2775	843
767	2778	839
768	2782	835
769	2785	832
770	2788	828
771	2791	824
772	2793	820
773	2796	816
774	2799	812
775	2802	809
776	2806	805
777	2808	801
778	2812	797
779	2815	794
780	2818	790
781	2821	786
782	2824	782
783	2830	779
784	2833	775
785	2835	772
786	2838	768
787	2843	764
788	2845	761
789	2849	757
790	2851	753
791	2853	749
792	2857	745
793	2859	741
794	2863	738
795	2866	734
796	2869	730
797	2873	727
798	2876	723
799	2879	719
800	2882	716
801	2885	712
802	2890	709
803	2894	705
804	2896	701
805	2899	697
806	2903	694
807	2906	690
808	2909	686
809	2911	683
810	2914	679
811	2917	675
812	2920	671
813	2922	667
814	2925	663
815	2927	660
816	2930	656
817	2933	652
818	2936	648
819	2938	645
820	2941	641
821	2943	637
822	2945	633
823	2949	630
824	2952	626
825	2955	622
826	2957	618
827	2960	614
828	2963	611
829	2966	607
830	2969	603
831	2972	600
832	2974	596
833	2978	592
834	2981	589
835	2984	585
836	2987	581
837	2993	578
838	2996	574
839	2998	571
840	3001	567
841	3004	563
842	3007	560
843	3011	556
844	3014	553
845	3019	549
846	3024	546
847	3028	542
848	3031	539
849	3034	535
850	3043	532
851	3046	529
852	3049	525
853	3054	522
854	3060	519
855	3063	515
856	3066	511
857	3071	508
858	3074	504
859	3077	501
860	3080	497
861	3084	493
862	3087	490
863	3090	486
864	3092	482
865	3096	479
866	3099	475
867	3102	471
868	3104	468
869	3107	464
870	3110	460
871	3116	457
872	3119	453
873	3122	450
874	3124	446
875	3128	442
876	3133	439
877	3136	435
878	3138	432
879	3142	428
880	3145	424
881	3148	421
882	3151	417
883	3154	413
884	3158	410
885	3162	406
886	3164	403
887	3166	399
888	3169	395
889	3173	392
890	3176	388
891	3178	384
892	3180	381
893	3183	377
894	3186	373
895	3189	370
896	3192	366
897	3194	362
898	3196	359
899	3198	355
900	3201	351
901	3204	348
902	3206	344
903	3208	340
904	3210	337
905	3213	333
906	3217	329
907	3220	326
908	3222	322
909	3225	318
910	3227	315
911	3231	311
912	3235	308
913	3237	304
914	3240	300
915	3242	297
916	3245	293
917	3248	290
918	3250	286
919	3252	282
920	3255	279
921	3257	275
922	3261	272
923	3264	268
924	3267	264
925	3269	261
926	3272	257
927	3275	254
928	3279	250
929	3282	247
930	3284	243
931	3286	239
932	3289	236
933	3292	232
934	3295	229
935	3297	225
936	3300	221
937	3302	218
938	3305	214
939	3308	211
940	3310	207
941	3313	204
942	3315	200
943	3318	196
944	3324	193
945	3327	189
946	3330	186
947	3332	182
948	3337	179
949	3340	175
950	3343	172
951	3345	168
952	3348	165
953	3353	161
954	3355	158
955	3358	154
956	3361	151
957	3365	147
958	3368	144
959	3371	140
960	3373	136
961	3375	133
962	3378	129
963	3382	126
964	3385	122
965	3387	119
966	3390	115
967	3392	112
968	3397	108
969	3399	105
970	3402	101
971	3404	98
972	3407	94
973	3410	91
974	3414	87
975	3416	84
976	3419	80
977	3422	76
978	3426	73
979	3428	69
980	3431	66
981	3433	62
982	3435	59
983	3439	55
984	3442	52
985	3445	48
986	3448	45
987	3451	41
988	3454	38
989	3457	34
990	3460	31
991	3463	27
992	3465	24
993	3472	20
994	3475	17
995	3477	13
996	3480	10
997	3483	6
998	3487	3
999	3491	0
